key,en,es,zh,tl,vi
enter_doctor_notes,"Type any additional notes here...","Escribe cualquier nota adicional aquí...","在此输入其他备注...","I-type ang anumang karagdagang tala dito...","Nhập ghi chú bổ sung ở đây..."
generate_output,"Generate Output","Generar salida","生成输出","Gumawa ng Output","Tạo kết quả"
fast_facts,"Fast Facts","Datos rápidos","快速事实","Mabilis na Katotohanan","Thông tin nhanh"
date_label,"Date:","Fecha:","日期：","Petsa:","Ngày:"
rescheduled_appointment,"Rescheduled Appointment?","¿Cita reprogramada?","预约已重新安排？","Naire-skedyul bang muli ang appointment?","Cuộc hẹn đã được sắp xếp lại?"
medication_schedule,"Medication Schedule","Horario de Medicación","药物计划","Iskedyul ng Gamot","Lịch Thuốc"
symptom_log,"Symptom Log","Registro de Síntomas","症状记录","Tala ng Sintomas","Nhật ký Triệu chứng"
enter_symptom_severity,"Enter your symptom severity today (0-10):","Ingresa la intensidad de tus síntomas hoy (0-10):","请输入你今天的症状严重程度 (0-10):","Ilagay ang antas ng iyong sintomas ngayon (0-10):","Nhập mức độ triệu chứng của bạn hôm nay (0-10):"
save,"Save","Guardar","保存","I-save","Lưu"
symptom_log_patient_notes,"Symptom Log Patient Notes","Notas del paciente del registro de síntomas","症状记录患者备注","Mga Tala ng Pasyente sa Tala ng Sintomas","Ghi chú của bệnh nhân trong Nhật ký Triệu chứng"
symptom_severity_log_7_days,"Symptom Severity Log for Last 7 Days","Registro de severidad de síntomas de los últimos 7 días","过去7天的症状严重程度记录","Tala ng Antas ng Sintomas para sa Huling 7 Araw","Nhật ký Mức độ Triệu chứng trong 7 ngày qua"
select_your_condition,"Select Your Condition","Selecciona tu condición","选择你的病情","Piliin ang iyong kondisyon","Chọn tình trạng của bạn"
choose_one,"Choose one:","Elige uno:","请选择一个：","Pumili ng isa:","Chọn một:"
confirm,"Confirm","Confirmar","确认","Kumpirmahin","Xác nhận"
cancel,"Cancel","Cancelar","取消","Kanselahin","Hủy bỏ"
no_matches_condition,"No matches found for condition:","No se encontraron coincidencias para la condición:","未找到匹配的病情：","Walang nahanap na tugma para sa kondisyon:","Không tìm thấy phù hợp cho tình trạng:"
select_your_drug,"Select Your Drug","Selecciona tu medicamento","选择你的药物","Piliin ang iyong gamot","Chọn thuốc của bạn"
no_matches_drug,"No matches found for drug:","No se encontraron coincidencias para el medicamento:","未找到匹配的药物：","Walang nahanap na tugma para sa gamot:","Không tìm thấy phù hợp cho thuốc:"
schedule_next_appointment,"Schedule Next Appointment","Programar próxima cita","安排下一次预约","Iskedyul ang Susunod na Appointment","Sắp xếp cuộc hẹn tiếp theo"
another_appointment,"Do you have another appointment scheduled?","¿Tienes otra cita programada?","你还有其他预约吗？","Mayroon ka pa bang nakaiskedyul na appointment?","Bạn có cuộc hẹn nào khác đã được lên lịch không?"
yes,"Yes","Sí","是","Oo","Vâng"
no,"No","No","否","Hindi","Không"
appointment_date,"Appointment Date:","Fecha de la cita:","预约日期：","Petsa ng Appointment:","Ngày hẹn:"
submit,"Submit","Enviar","提交","Isumite","Gửi"
symptoms_cause_question,"What is causing your symptoms today:","¿Qué está causando tus síntomas hoy:","今天是什么导致了你的症状：","Ano ang sanhi ng iyong mga sintomas ngayon:","Điều gì đang gây ra triệu chứng của bạn hôm nay:"
notes_label,"Notes:","Notas:","备注：","Mga Tala:","Ghi chú:"
enter_one_required,"Please enter at least one condition, drug, treatment, or doctor note.","Por favor, ingresa al menos una condición, medicamento, tratamiento o nota del doctor.","请至少输入一项病情、药物、治疗或医生备注。","Mangyaring maglagay ng kahit isang kondisyon, gamot, paggagamot, o tala ng doktor.","Vui lòng nhập ít nhất một tình trạng, thuốc, điều trị hoặc ghi chú của bác sĩ."
no_medications_scheduled,"No medications scheduled.","No hay medicamentos programados.","没有安排药物。","Walang naka-iskedyul na gamot.","Không có thuốc được lên lịch."
fast_facts_placeholder,"Fast Facts will appear here once the patient summary is generated.","Los datos rápidos aparecerán aquí una vez que se genere el resumen del paciente.","病人摘要生成后，快速事实将显示在此处。","Lilitaw ang mabilis na katotohanan dito kapag nabuo na ang buod ng pasyente.","Thông tin nhanh sẽ xuất hiện ở đây khi tóm tắt bệnh nhân được tạo ra."
no_glossary_terms,"No glossary terms matched.","No se encontraron términos de glosario coincidentes.","没有匹配的词汇表条款。","Walang tumugmang mga termino sa glosaryo.","Không có thuật ngữ từ điển nào trùng khớp."
no_notes_saved,"No notes saved.","No se han guardado notas.","没有保存的备注。","Walang naka-save na tala.","Không có ghi chú nào được lưu."
date,"Date","Fecha","日期","Petsa","Ngày"
pain_level,"Pain Level","Nivel de dolor","疼痛程度","Antas ng Sakit","Mức độ đau"
